Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Bahrain,United States,2004,,1,,TPS-59,air search radar,1,,2007,New,$44 m deal; AN/TPS-59(V)3 version,15,15,15
Bangladesh,China,2011,?,2,?,SLC-2,artillery locating radar,0,,,New,,8,16,0
Bangladesh,Germany,1998,?,1,,ASO-90,ASW sonar,1,,2001,New,For 1 DW-2000H (Bangabandhu) frigate from South Korea,7.5,7.5,7.5
Bangladesh,Italy,2006,,16,,Grifo,combat aircraft radar,16,,2006,New,Grifo-MG version; for 16 F-7MG combat aircraft from China; possibly from Pakistani production line,1,16,16
Bangladesh,Italy,2011,,16,,Grifo,combat aircraft radar,16,?,2012; 2013,New,For 16 F-7MG (F-7BGI) combat aircraft from China,1,16,16
Bangladesh,Italy,2019,,6,,Kronos,multi-function radar,4,?,2022; 2023,New,Kronos Land version,10,60,40
Bangladesh,Italy,2016,,1,,RAT-31DL,air search radar,1,,2018,New,BDT1.5 b ($18 m) deal,12.5,12.5,12.5
Bangladesh,Netherlands,1998,?,1,,DA-08,air search radar,1,,2001,New,For 1 DW-2000H (Bangabandhu) frigate from South Korea,9,9,9
Bangladesh,Netherlands,1999,?,1,,LIROD,fire control radar,1,,2001,New,For 1 DW-2000H (Bangabandhu) frigate from South Korea; LIROD-2 version,2.5,2.5,2.5
Bangladesh,Netherlands,1998,?,1,,MIRADOR,EO search/fire control,1,,2001,New,For 1 DW-2000H Type (Bangabandhu Class) frigate from South Korea,2.5,2.5,2.5
Bangladesh,Netherlands,1998,?,1,,Variant,air/sea search radar,1,,2001,New,For 1 DW-2000H Type (Bangabandhu Class) frigate from South Korea,4.75,4.75,4.75
Bangladesh,Russia,2000,,2,,1L-117,air search radar,2,?,2001,New,$15 m deal,12.5,25,25
Bangladesh,Switzerland,2017,,2,,Skyguard,fire control radar,2,,2019,New,Skyguard-3 version for use with GDF-009 35mm AA guns,5,10,10
Bangladesh,United Kingdom,2017,,2,,Seaspray,MP aircraft radar,2,,2021; 2022,New,Seaspray-5000E version; for 2 Do-228 MP aircraft from Germany,2,4,4
Bangladesh,United States,1990,?,4,?,TPS-43,air search radar,4,?,1991; 1992,New,Status uncertain,9,36,36
Belgium,Canada,1973,?,4,,SQS-505,ASW sonar,4,,1978; 1979,New,For 4 Wielingen frigates produced in Belgium; SQS-505A version,5,20,20
Belgium,Canada,1995,?,3,?,SQS-510,ASW sonar,3,?,2000; 2002; 2004,New,For modernization of 3 Wielingen frigates,6,18,18
Belgium,Denmark,2021,,6,,Scanter-6000,air/sea search radar,0,,,New,For 6 MCM-2720 MCM ships from France,4.75,28.5,0
Belgium,France,2001,,4,,ENR,MP aircraft radar,4,,2013; 2014,New,For 4 NH-90 NFH ASW helicopters from FRG; supplier may be Italy,3.5,14,14
